Player,Nation,Pos,Squad,passing_Age,passing_Born,passing_90s,passing_Total_Cmp,passing_Total_Att,passing_Total_Cmp%,passing_Total_TotDist,passing_Total_PrgDist,passing_Short_Cmp,passing_Short_Att,passing_Short_Cmp%,passing_Medium_Cmp,passing_Medium_Att,passing_Medium_Cmp%,passing_Long_Cmp,passing_Long_Att,passing_Long_Cmp%,passing_Ast,passing_xAG,passing_Expected_xA,passing_Expected_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Matches
Carlos Baleba,cm CMR,MF,Brighton,21-098,2004,22.9,831,959,86.7,13942,3603,405,439,92.3,329,364,90.4,77,118,65.3,1,1.1,1.1,-0.1,18,92,22,2,99,Matches
Ross Barkley,eng ENG,MF,Aston Villa,31-127,1993,6.2,317,367,86.4,4962,1155,164,186,88.2,134,145,92.4,13,18,72.2,1,0.6,0.4,+0.4,8,29,6,0,32,Matches
Harvey Barnes,eng ENG,FW,Newcastle Utd,27-123,1997,12.0,300,381,78.7,4229,1338,194,226,85.8,94,125,75.2,9,15,60.0,3,3.1,3.5,-0.1,17,17,28,6,56,Matches
Calvin Bassey,ng NGA,DF,Fulham,25-101,1999,28.2,1586,1770,89.6,27959,9535,672,710,94.6,772,819,94.3,114,186,61.3,0,0.1,0.3,-0.1,2,112,1,0,89,Matches
Jan Bednarek,pl POL,DF,Southampton,28-364,1996,23.1,1390,1504,92.4,24478,8021,535,562,95.2,752,798,94.2,91,118,77.1,0,0.5,0.8,-0.5,5,66,0,0,55,Matches
Armel Bella Kotchap,de GER,DF,Southampton,23-121,2001,3.7,202,224,90.2,3829,956,65,66,98.5,119,123,96.7,16,29,55.2,0,0.0,0.0,0.0,0,6,0,0,5,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-288,1998,16.0,395,496,79.6,6117,1202,230,257,89.5,125,154,81.2,30,50,60.0,6,3.6,2.5,+2.4,26,27,15,7,35,Matches
Rodrigo Bentancur,uy URU,MF,Tottenham,27-290,1997,15.5,829,937,88.5,13241,3219,409,444,92.1,357,385,92.7,40,55,72.7,0,0.4,0.9,-0.4,9,94,11,2,84,Matches
Sander Berge,no NOR,MF,Fulham,27-056,1998,20.3,890,982,90.6,15889,3769,368,404,91.1,423,451,93.8,84,100,84.0,0,0.6,0.5,-0.6,17,96,3,0,94,Matches
Lucas Bergvall,se SWE,MF,Tottenham,19-068,2006,12.0,585,661,88.5,9628,1912,285,308,92.5,239,262,91.2,45,61,73.8,1,0.5,0.8,+0.5,10,49,7,3,45,Matches
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-116,2002,26.4,1007,1297,77.6,16181,5793,510,569,89.6,411,513,80.1,65,157,41.4,1,1.4,1.7,-0.4,18,74,23,18,69,Matches
Beto,gw GNB,FW,Everton,27-070,1998,11.9,108,187,57.8,1464,150,64,94,68.1,29,57,50.9,6,7,85.7,0,0.7,0.2,-0.7,7,4,2,0,8,Matches
Philip Billing,dk DEN,MF,Bournemouth,28-304,1996,2.0,70,102,68.6,1023,400,43,51,84.3,19,27,70.4,4,15,26.7,0,1.1,1.0,-1.1,9,9,7,2,15,Matches
Yves Bissouma,ml MLI,MF,Tottenham,28-224,1996,12.8,654,734,89.1,9984,2654,354,382,92.7,243,261,93.1,33,53,62.3,0,0.3,0.6,-0.3,6,55,10,1,69,Matches
Oscar Bobb,no NOR,FW,Manchester City,21-273,2003,0.1,2,2,100.0,37,15,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-096,2004,5.3,240,272,88.2,3682,1154,129,139,92.8,107,116,92.2,3,9,33.3,0,0.1,0.1,-0.1,2,24,1,0,14,Matches
