Player,Nation,Pos,Squad,shooting_Age,shooting_Born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_Dist,shooting_Standard_FK,shooting_Standard_PK,shooting_Standard_PKatt,shooting_Expected_xG,shooting_Expected_npxG,shooting_Expected_npxG/Sh,shooting_Expected_G-xG,shooting_Expected_np:G-xG,shooting_Matches
Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22-259,2002,27.9,8,48,16,33.3,1.72,0.57,0.17,0.50,15.9,0,0,0,5.8,5.8,0.12,+2.2,+2.2,Matches
Cristian Romero,ar ARG,DF,Tottenham,26-349,1998,14.2,1,14,7,50.0,0.98,0.49,0.07,0.14,9.2,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Matches
Georginio Rutter,fr FRA,"MF,FW",Brighton,22-356,2002,18.4,5,50,12,24.0,2.72,0.65,0.10,0.42,15.5,0,0,0,4.6,4.6,0.09,+0.4,+0.4,Matches
José Sá,pt POR,GK,Wolves,32-084,1993,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-218,2001,14.9,6,48,18,37.5,3.23,1.21,0.10,0.28,16.0,1,1,1,5.1,4.3,0.09,+0.9,+0.7,Matches
Mohamed Salah,eg EGY,FW,Liverpool,32-300,1992,30.5,27,99,45,45.5,3.24,1.47,0.18,0.40,15.1,1,9,9,22.5,15.5,0.16,+4.5,+2.5,Matches
William Saliba,fr FRA,DF,Arsenal,24-018,2001,28.3,2,5,2,40.0,0.18,0.07,0.40,1.00,4.5,0,0,0,2.2,2.2,0.43,-0.2,-0.2,Matches
Robert Sánchez,es ESP,GK,Chelsea,27-144,1997,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jadon Sancho,eng ENG,FW,Chelsea,25-017,2000,17.6,2,21,5,23.8,1.19,0.28,0.10,0.40,14.9,0,0,0,1.9,1.9,0.09,+0.1,+0.1,Matches
Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,27-130,1997,3.1,0,1,1,100.0,0.32,0.32,0.00,0.00,32.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Pablo Sarabia,es ESP,"MF,FW",Wolves,32-335,1992,6.8,2,14,7,50.0,2.07,1.03,0.14,0.29,19.4,1,0,0,2.6,2.6,0.18,-0.6,-0.6,Matches
Jeremy Sarmiento,ec ECU,MF,Brighton,22-299,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ismaila Sarr,sn SEN,MF,Crystal Palace,27-045,1998,23.4,7,43,24,55.8,1.83,1.02,0.16,0.29,13.8,0,0,0,7.8,7.8,0.19,-0.8,-0.8,Matches
Sávio,br BRA,"FW,MF",Manchester City,21-001,2004,18.3,1,53,20,37.7,2.89,1.09,0.02,0.05,17.7,1,0,0,4.8,4.8,0.09,-3.8,-3.8,Matches
Oliver Scarles,eng ENG,DF,West Ham,19-120,2005,5.9,0,3,0,0.0,0.51,0.00,0.00,,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Dane Scarlett,eng ENG,"FW,MF",Tottenham,21-018,2004,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,13.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Kevin Schade,de GER,FW,Brentford,23-135,2001,19.5,7,42,18,42.9,2.15,0.92,0.17,0.39,11.8,0,0,0,5.9,5.9,0.14,+1.1,+1.1,Matches
Fabian Schär,ch SUI,DF,Newcastle Utd,33-112,1991,24.8,2,24,7,29.2,0.97,0.28,0.08,0.29,21.2,3,0,0,1.7,1.7,0.07,+0.3,+0.3,Matches
Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32-109,1992,1.1,0,4,2,50.0,3.50,1.75,0.00,0.00,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Alex Scott,eng ENG,MF,Bournemouth,21-233,2003,5.6,0,9,4,44.4,1.61,0.72,0.00,0.00,18.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Matz Sels,be BEL,GK,Nott'ham Forest,33-044,1992,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nélson Semedo,pt POR,DF,Wolves,31-146,1993,25.8,0,13,6,46.2,0.50,0.23,0.00,0.00,24.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Antoine Semenyo,gh GHA,FW,Bournemouth,25-094,2000,29.4,7,112,35,31.3,3.81,1.19,0.06,0.20,17.2,0,0,0,8.9,8.9,0.08,-1.9,-1.9,Matches
Marcos Senesi,ar ARG,DF,Bournemouth,27-336,1997,10.7,0,2,0,0.0,0.19,0.00,0.00,,6.0,0,0,0,0.8,0.8,0.40,-0.8,-0.8,Matches
Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24-328,2000,2.1,3,7,5,71.4,3.30,2.36,0.43,0.60,12.1,0,0,0,0.8,0.8,0.12,+2.2,+2.2,Matches
Luke Shaw,eng ENG,DF,Manchester Utd,29-273,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19-276,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bernardo Silva,pt POR,"MF,FW",Manchester City,30-244,1994,23.7,2,27,9,33.3,1.14,0.38,0.07,0.22,13.0,0,0,0,3.0,3.0,0.11,-1.0,-1.0,Matches
Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25-253,1999,8.6,3,18,5,27.8,2.10,0.58,0.17,0.60,14.8,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches
Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18-343,2006,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,19-158,2005,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-298,1999,2.6,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Oliver Skipp,eng ENG,MF,Leicester City,24-207,2000,9.2,0,3,1,33.3,0.33,0.11,0.00,0.00,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
William Smallbone,ie IRL,MF,Southampton,25-049,2000,6.5,1,5,1,20.0,0.77,0.15,0.20,1.00,17.6,1,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
Adam Smith,eng ENG,DF,Bournemouth,33-347,1991,12.7,0,1,0,0.0,0.08,0.00,0.00,,10.2,0,0,0,0.6,0.6,0.60,-0.6,-0.6,Matches
Emile Smith Rowe,eng ENG,MF,Fulham,24-257,2000,20.1,5,32,8,25.0,1.60,0.40,0.16,0.63,15.4,0,0,0,4.1,4.1,0.13,+0.9,+0.9,Matches
Dominic Solanke,eng ENG,FW,Tottenham,27-209,1997,21.7,7,55,22,40.0,2.53,1.01,0.13,0.32,12.3,0,0,0,9.4,9.4,0.17,-2.4,-2.4,Matches
Carlos Soler,es ESP,"MF,FW",West Ham,28-099,1997,13.1,1,20,6,30.0,1.53,0.46,0.05,0.17,19.9,1,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25-223,1999,2.9,1,10,5,50.0,3.42,1.71,0.10,0.20,18.9,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Tomáš Souček,cz CZE,MF,West Ham,30-043,1995,23.9,7,47,12,25.5,1.97,0.50,0.15,0.58,11.4,0,0,0,5.3,5.3,0.12,+1.7,+1.7,Matches
Boubakary Soumaré,fr FRA,MF,Leicester City,26-043,1999,19.2,0,6,0,0.0,0.31,0.00,0.00,,23.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Djed Spence,eng ENG,DF,Tottenham,24-245,2000,13.8,1,8,3,37.5,0.58,0.22,0.13,0.33,22.9,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
Jay Stansfield,eng ENG,MF,Fulham,22-138,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jason Steele,eng ENG,GK,Brighton,34-236,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jack Stephens,eng ENG,DF,Southampton,31-074,1994,9.9,0,2,0,0.0,0.20,0.00,0.00,,7.9,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
Raheem Sterling,eng ENG,"FW,MF",Arsenal,30-124,1994,3.9,0,10,0,0.0,2.54,0.00,0.00,,15.0,2,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
Ross Stewart,sct SCO,"FW,MF",Southampton,28-274,1996,1.6,0,2,0,0.0,1.29,0.00,0.00,,12.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Jakub Stolarczyk,pl POL,GK,Leicester City,24-113,2000,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
John Stones,eng ENG,"DF,MF",Manchester City,30-318,1994,6.1,2,2,2,100.0,0.33,0.33,1.00,1.00,5.1,0,0,0,0.4,0.4,0.22,+1.6,+1.6,Matches
Jørgen Strand Larsen,no NOR,FW,Wolves,25-064,2000,24.9,11,44,29,65.9,1.76,1.16,0.25,0.38,12.1,0,0,0,7.8,7.8,0.18,+3.2,+3.2,Matches
Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24-287,2000,16.2,1,13,5,38.5,0.80,0.31,0.08,0.20,19.2,1,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23-055,2002,10.1,1,17,6,35.3,1.68,0.59,0.06,0.17,17.9,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches
Crysencio Summerville,nl NED,"FW,MF",West Ham,23-163,2001,8.7,1,14,4,28.6,1.60,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-199,1995,10.9,4,21,12,57.1,1.93,1.10,0.19,0.33,14.0,0,0,0,3.4,3.4,0.16,+0.6,+0.6,Matches
Dominik Szoboszlai,hu HUN,MF,Liverpool,24-168,2000,23.3,5,58,17,29.3,2.49,0.73,0.09,0.29,18.1,2,0,0,6.8,6.8,0.12,-1.8,-1.8,Matches
Matt Targett,eng ENG,DF,Newcastle Utd,29-205,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
James Tarkowski,eng ENG,DF,Everton,32-143,1992,30.9,1,14,4,28.6,0.45,0.13,0.07,0.25,8.6,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26-020,1999,16.7,3,47,15,31.9,2.81,0.90,0.06,0.20,20.4,4,0,0,5.2,5.2,0.11,-2.2,-2.2,Matches
Charlie Taylor,eng ENG,DF,Southampton,31-205,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jack Taylor,ie IRL,MF,Ipswich Town,26-292,1998,6.0,1,14,4,28.6,2.33,0.67,0.07,0.25,24.1,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
Mathys Tel,fr FRA,FW,Tottenham,19-349,2005,3.5,1,10,5,50.0,2.88,1.44,0.00,0.00,17.7,0,1,1,1.6,0.8,0.08,-0.6,-0.8,Matches
Kenny Tete,nl NED,DF,Fulham,29-184,1995,14.1,0,18,2,11.1,1.27,0.14,0.00,0.00,16.4,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
Thiago,br BRA,FW,Brentford,23-289,2001,1.5,0,1,0,0.0,0.68,0.00,0.00,,14.7,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Luke Thomas,eng ENG,DF,Leicester City,23-305,2001,6.0,0,2,0,0.0,0.33,0.00,0.00,,25.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Youri Tielemans,be BEL,MF,Aston Villa,27-339,1997,29.4,2,31,9,29.0,1.05,0.31,0.06,0.22,21.4,0,0,1,2.7,1.9,0.06,-0.7,+0.1,Matches
Kieran Tierney,sct SCO,"DF,FW",Arsenal,27-310,1997,1.1,0,1,0,0.0,0.93,0.00,0.00,,2.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
Jurriën Timber,nl NED,DF,Arsenal,23-298,2001,25.6,1,14,4,28.6,0.55,0.16,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Jean-Clair Todibo,fr FRA,DF,West Ham,25-102,1999,13.6,0,4,0,0.0,0.29,0.00,0.00,,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-235,1995,0.5,0,1,0,0.0,1.91,0.00,0.00,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Takehiro Tomiyasu,jp JPN,DF,Arsenal,26-157,1998,0.1,0,1,0,0.0,12.86,0.00,0.00,,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
Sandro Tonali,it ITA,MF,Newcastle Utd,24-338,2000,21.2,2,25,8,32.0,1.18,0.38,0.08,0.25,18.8,2,0,0,3.2,3.2,0.13,-1.2,-1.2,Matches
Pau Torres,es ESP,DF,Aston Villa,28-085,1997,18.2,0,8,2,25.0,0.44,0.11,0.00,0.00,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Conor Townsend,eng ENG,DF,Ipswich Town,32-038,1993,3.4,0,1,0,0.0,0.29,0.00,0.00,,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Adama Traoré,es ESP,"FW,MF",Fulham,29-076,1996,16.5,2,35,11,31.4,2.13,0.67,0.06,0.18,14.3,0,0,0,3.8,3.8,0.11,-1.8,-1.8,Matches
Boubacar Traoré,ml MLI,MF,Wolves,23-234,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mark Travers,ie IRL,GK,Bournemouth,25-328,1999,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ryan Trevitt,eng ENG,MF,Brentford,22-030,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kieran Trippier,eng ENG,DF,Newcastle Utd,34-204,1990,9.7,0,3,0,0.0,0.31,0.00,0.00,,22.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Leandro Trossard,be BEL,FW,Arsenal,30-128,1994,22.2,5,56,16,28.6,2.52,0.72,0.09,0.31,16.3,0,0,0,5.4,5.4,0.10,-0.4,-0.4,Matches
Kostas Tsimikas,gr GRE,DF,Liverpool,28-334,1996,5.7,0,3,1,33.3,0.52,0.17,0.00,0.00,18.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Axel Tuanzebe,cd COD,DF,Ipswich Town,27-148,1997,14.1,0,4,0,0.0,0.28,0.00,0.00,,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Destiny Udogie,it ITA,DF,Tottenham,22-134,2002,19.4,0,5,1,20.0,0.26,0.05,0.00,0.00,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,24-000,2001,16.0,1,14,2,14.3,0.87,0.12,0.07,0.50,20.6,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
Lesley Ugochukwu,fr FRA,MF,Southampton,21-016,2004,13.1,0,8,0,0.0,0.61,0.00,0.00,,18.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
Enes Ünal,tr TUR,"FW,MF",Bournemouth,27-336,1997,3.8,2,20,7,35.0,5.22,1.83,0.10,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
Virgil van Dijk,nl NED,DF,Liverpool,33-277,1991,31.0,1,19,6,31.6,0.61,0.19,0.05,0.17,13.6,1,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
Jamie Vardy,eng ENG,FW,Leicester City,38-090,1987,26.2,7,49,20,40.8,1.87,0.76,0.12,0.30,11.8,0,1,1,9.4,8.6,0.18,-2.4,-2.6,Matches
Renato Veiga,pt POR,"DF,MF",Chelsea,21-256,2003,2.0,0,3,1,33.3,1.49,0.50,0.00,0.00,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Joël Veltman,nl NED,DF,Brighton,33-086,1992,18.3,0,6,1,16.7,0.33,0.05,0.00,0.00,19.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Micky van de Ven,nl NED,DF,Tottenham,23-357,2001,10.1,0,6,2,33.3,0.60,0.20,0.00,0.00,11.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Bart Verbruggen,nl NED,GK,Brighton,22-236,2002,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jannik Vestergaard,dk DEN,DF,Leicester City,32-251,1992,15.5,0,3,2,66.7,0.19,0.13,0.00,0.00,9.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Guglielmo Vicario,it ITA,GK,Tottenham,28-186,1996,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Carlos Vinícius,br BRA,MF,Fulham,30-017,1995,0.0,0,1,1,100.0,22.50,22.50,0.00,0.00,17.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Kyle Walker,eng ENG,DF,Manchester City,34-318,1990,10.8,0,5,2,40.0,0.46,0.19,0.00,0.00,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Kyle Walker-Peters,eng ENG,DF,Southampton,27-363,1997,28.4,0,17,5,29.4,0.60,0.18,0.00,0.00,19.1,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
Christian Walton,eng ENG,GK,Ipswich Town,29-153,1995,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-136,1997,29.0,2,13,4,30.8,0.45,0.14,0.15,0.50,15.5,0,0,0,1.0,1.0,0.08,+1.0,+1.0,Matches
Danny Ward,wls WAL,GK,Leicester City,31-293,1993,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joel Ward,eng ENG,DF,Crystal Palace,35-164,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
James Ward-Prowse,eng ENG,MF,West Ham,30-161,1994,6.5,0,3,1,33.3,0.46,0.15,0.00,0.00,24.3,2,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-161,1994,4.4,0,2,1,50.0,0.45,0.23,0.00,0.00,29.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ollie Watkins,eng ENG,FW,Aston Villa,29-102,1995,23.8,13,70,30,42.9,2.94,1.26,0.16,0.37,12.2,0,2,2,13.9,12.3,0.18,-0.9,-1.3,Matches
Adam Webster,eng ENG,DF,Brighton,30-097,1995,6.9,0,1,1,100.0,0.15,0.15,0.00,0.00,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Danny Welbeck,eng ENG,FW,Brighton,34-136,1990,17.7,8,44,17,38.6,2.48,0.96,0.18,0.47,15.1,7,0,0,7.2,7.2,0.16,+0.8,+0.8,Matches
Welington,br BRA,"DF,MF",Southampton,24-051,2001,2.3,0,1,0,0.0,0.43,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Timo Werner,de GER,"FW,MF",Tottenham,29-036,1996,5.7,0,8,3,37.5,1.40,0.52,0.00,0.00,18.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
Adam Wharton,eng ENG,MF,Crystal Palace,20-313,2004,11.2,0,10,5,50.0,0.89,0.45,0.00,0.00,25.0,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Ben White,eng ENG,DF,Arsenal,27-185,1997,8.5,0,6,1,16.7,0.70,0.12,0.00,0.00,19.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Mats Wieffer,nl NED,MF,Brighton,25-146,1999,5.7,1,6,2,33.3,1.05,0.35,0.17,0.50,12.7,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
Neco Williams,wls WAL,DF,Nott'ham Forest,23-363,2001,21.8,1,31,6,19.4,1.42,0.27,0.03,0.17,19.4,1,0,0,2.1,2.1,0.07,-1.1,-1.1,Matches
Willian,br BRA,"MF,FW",Fulham,36-245,1988,1.7,0,3,0,0.0,1.74,0.00,0.00,,22.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-234,1999,9.4,0,13,3,23.1,1.39,0.32,0.00,0.00,17.1,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Callum Wilson,eng ENG,FW,Newcastle Utd,33-043,1992,2.3,0,5,0,0.0,2.17,0.00,0.00,,15.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Harry Wilson,wls WAL,"FW,MF",Fulham,28-020,1997,9.3,5,28,9,32.1,3.00,0.97,0.18,0.56,17.2,1,0,0,3.2,3.2,0.12,+1.8,+1.8,Matches
Harry Winks,eng ENG,MF,Leicester City,29-068,1996,17.1,0,10,4,40.0,0.59,0.23,0.00,0.00,29.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Ben Winterburn,eng ENG,"FW,MF",Bournemouth,20-219,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yoane Wissa,cd COD,FW,Brentford,28-220,1996,25.4,14,69,30,43.5,2.71,1.18,0.20,0.47,14.0,0,0,0,14.1,14.1,0.21,-0.1,-0.1,Matches
Chris Wood,nz NZL,FW,Nott'ham Forest,33-125,1991,26.0,18,50,29,58.0,1.92,1.11,0.30,0.52,14.6,0,3,3,11.0,8.7,0.17,+7.0,+6.3,Matches
Nathan Wood-Gordon,eng ENG,DF,Southampton,22-315,2002,6.9,0,2,0,0.0,0.29,0.00,0.00,,5.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Luke Woolfenden,eng ENG,DF,Ipswich Town,26-172,1998,11.2,0,1,0,0.0,0.09,0.00,0.00,,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Yehor Yarmoliuk,ua UKR,MF,Brentford,21-041,2004,10.5,0,9,2,22.2,0.86,0.19,0.00,0.00,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Ryan Yates,eng ENG,MF,Nott'ham Forest,27-141,1997,19.2,2,31,9,29.0,1.62,0.47,0.06,0.22,18.9,0,0,0,2.3,2.3,0.07,-0.3,-0.3,Matches
Leny Yoro,fr FRA,DF,Manchester Utd,19-149,2005,9.7,0,5,1,20.0,0.51,0.10,0.00,0.00,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
Ashley Young,eng ENG,"DF,FW",Everton,39-276,1985,17.6,1,6,3,50.0,0.34,0.17,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Illia Zabarnyi,ua UKR,DF,Bournemouth,22-222,2002,28.1,0,8,0,0.0,0.28,0.00,0.00,,8.8,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-117,1996,3.3,0,3,0,0.0,0.90,0.00,0.00,,14.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-324,2001,15.0,3,27,10,37.0,1.80,0.67,0.11,0.30,12.9,0,0,0,4.7,4.7,0.17,-1.7,-1.7,Matches
Martin Ødegaard,no NOR,MF,Arsenal,26-115,1998,20.4,2,36,11,30.6,1.76,0.54,0.03,0.09,18.5,2,1,1,4.2,3.4,0.10,-2.2,-2.4,Matches
